"","x"
"24","@WmWatts61 In Europe, the millions of refugees have brought in crime waves &amp; overtaken many cities. These illegals will build ghettos where no American will be able to go, like in Chicago, Compton &amp; Detroit. How much more scumbags &amp; ghettos should we import from the murder capital Honduras?"
"25","I just want to remind everyone that Prisons SHOULD be just that Don't like it ? Dont be criminals, obey the LAW!! Don't remember Jews trying to enter concentration camps to better their lives like these illegals? Jews were FORCED and KILLED not given food and mattresses#STOPLYING https://t.co/lMooM2ziWV"
"26","@anandcp @FAIRImmigration @dcexaminer @Anna_Giaritelli This is the man responsible. I guess you like socialism and working only to support illegals. Sorry, but your stupidity is showing. Better hide that. https://t.co/yCJhd5oqYv"
"27","@StormwaterLA Quit spending money on illegals and you would have the money! Make California Red!"
"28","@TomFitton Let’s change that!  There are plenty of illegals that will vote. SAY NO  to illegals voting. Vote Republicans for governor."
"29","INDIANA PORK GUACAMOLE. THIS IS NOT A DRILL. https://t.co/vdIGVOCQeE"
"30","@ercthms Lol I walked past mine last year while getting Mexican food and had no idea til ppl started calling my name in the parking lot <U+0001F699><U+0001F4A8><U+0001F4A8><U+0001F4A8>"
"31","@SashaBanksWWE There is a Mexican restaurant here in Tampa Florida where I live called Besitos and I would love to take you there for dinner with you wearing that black dress. You look Amazing Gorgeous Damn <U+0001F4A5><U+0001F4A5><U+0001F4A5><U+0001F600>"
"32","@JunkScience @Try_Facts_Libs If my plan went to $2900+ per month I’d become a Mexican and get my health care for free."
"33","@ZayIntheLife Seal the border and the drugs will still get in. Especially since the US has a vested interest in whinch cartel controls the Mexican streets <U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F>"
"34","@krassenstein I don’t believe people in golden sleepers do shake.  I hope they take responsibility for deficit spending a trillion dollars to give billionaires and corporations tax cuts—because they ARE corporations, and for selling you fear of harmless Mexican babies, instead of Healthcare."
"35","In &amp; Out trash onna slick. Only place I’m lookin forward to eatin in LA is Roscoes &amp; some real Mexican food"
"36","@latimes I always wondered why Ted Cruz does not supported the Mexican community in Texas he is not from Mexico that’s the reason he doesn’t see himself as one of them he has no alliances to Mexico or Mexicans Wow that’s deep i’ll prayed the Mexican in Texas do you support to Beto instead"
"37","Was doing a feature on Estadio Azteca and this gentleman happen to talk to me briefly telling me what the place meant to him and to Mexican football.  One of a kind. https://t.co/4Zs24O4xzs"
"38","Day after the day of the dead...
•
•
•
#delasmuertas #fruitvale #bart #fruitvalebart #oakland #myhood #home #brightcolors #blueskys #california #mexican #mexicanculture #support… https://t.co/ycg84pvp4o"
"39","@CurtMWeiler Won 37-0 in the all whites last time they visited South Bend. Craphonso Thorpe went off that day."
"40","@tRickSalsman Still not sure how swing state whites thought it was a good idea to vote for someone who doesn’t understand basic economic principles. I’ll never comprehend it."
"41","Coffee, tea, colas, smoke, acidic juices, certain medications, and highly pigmented foods can take a toll on pearly whites! https://t.co/7YfdEWPuNg https://t.co/7YfdEWPuNg"
"42","@meijer I just need to know why you stopped selling black and whites. My life has gone significantly downhill since you stopped. I have to bring a dessert for a potluck and I need some black and whites!!"
"43","One Christian American Association official declared that after the ""Talmudist's"" success in USSR that they were now trying to conquer USA by getting African Americans to rebel and kill whites. Nation 7/31/43 p. 143"
"44","""Originalism"" was always a dog whistle with more political than academic meaning. It is pro-oligarchy and aims to keep oligarchic control in the hands of wealthy whites by the deepest entrenchment of status quo possible — embedding it into the Constitution. https://t.co/sjd9k33QhN"
"45","Upshot polls show Democratic gains among whites since 2016, with shifts either concentrated among the working class (if you believe 2016 demographics from Pew, NES, or exit polls) or uniform across white groups (if you believe Catalist or CCES 2016 estimates) https://t.co/VrmZMkG17k"
"46","Goldwater also introduces the “law and order” theme. It was a coded attack on civil rights. It played to white fears, and promised strong retaliatory measures against anybody who threatened whites, especially females."
"47","Dentist appointment is over. Live, showing off the clean pearly whites.

Drop by and smile with me <U+0001F600>

https://t.co/1XlYlQK54w https://t.co/QY96dm9ZDp"
"48","Best Ways To Keep Your Pearly Whites Healthy https://t.co/lLDLpDA31G"
"49","WHITE WALKER @ The Bear BatiCave https://t.co/vvCCAqlfjy"
"50","Democrats do not fear President Trump...  They fear truth justice and God https://t.co/Ge70y3P4VG"
"51","@beachcrazy70 @Sheugs @SamHeughan @caitrionambalfe @RikRankin @TheMattBRoberts @Writer_DG @jongarysteele @BarryWaldo @ladybay8 @ClanHeughan @purpleiris13 @SummerPic @Emmalines_Mom @barbaramills1 @sarahjaswim @LaurelSchuett @pjl24 @misty_maggie @mary_markssngr @whitesow1 Lol!! Giving my all to protect the goodies to ensure a Party <U+0001F389><U+0001F389> for all...except the White Sow it would seem!<U+0001F602><U+0001F923>"
"52","Ah, this is the wrong link, it doesn't take us to a story about the Willie Horton ad in 1988 and then the ""white hands"" ad from 1990. https://t.co/TedwSqkbyt"
"53","@LifeOfCherelle @kzshabazz @klford7602 I'm in a war for my life like the rest of the Black World  and I'm not concerned about niceties at this point in the game.  That's the problem with us as a people, always wanting to play footsie with white supremacy while it kills us en masse daily, including using proxies."
"54","@EricKlemstein @pedjazoo @KamalaHarris Racism isn't name-calling, imbecile.  

It is the shit white people have been doing in America since it was born."
"55","@McCrayNick There r more white drug users &amp;  dealers in US. The majority of the prison population for drug crime is Black &amp; Brown."
"56","Saturday, I was called an old white, bitch c***, by a teenage boy, just for getting out of the car.
Sunday, I had a little girl at the art museum following me around the museum, copying my gestures and looking at the art like I did.
I think I’ll chose to remember Sunday."
"57","i know i'm white, but im making like 4 lb of pzole, if anyone wants some hmu i'll deliver it to you. i just don't have cabbage, radish or lime, i was running and will get those when my love gets home."
"58","I liked a @YouTube video https://t.co/VxcrCrCt70 DANE/NATURE BOY/POLIGHT THE AFTER EFFECT: WHITE SUPREMACISTS STILL #1 THREAT TO BLACK"
"59","@AndrewGillum @AndrewGillum 1st African-American Governor of the Sunshine state &amp; the 2nd African-American President of the United Stated of America. #BringitHome https://t.co/TslSToBP5F"
"60","Students in #NovaScotia can now vie for $3,000 in bursaries and gifts, and learn more about African Nova Scotian history along the way.  https://t.co/lnoOu9uM4S"
"61","The NYPD hasn't caught the culprit behind the hateful graffiti. https://t.co/t8AuMvSxmW via @HuffPost"
"62","@ngendapatrick @NEPAD_Agency It's the brainchild of Thabo Mbeki, and his dreamy African Renaissance. you know how umalume wami Umsholozi brought him down <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>"
"63","Join us at #ICFP2018 where we will proudly introduce @APHRC's 2018 African Doctoral Dissertation Research Fellows - the rising stars of #abortion research in sub-Saharan Africa. @Guttmacher @Gynuity @IpasOrg &amp; @IbisRH. Wed Nov 14 at 7am. RSVP https://t.co/83gC68yrAV"
"64","@realDonaldTrump tweeted – “40% Approval Rating by African Americans for President Trump, a record for Republicans.” Thank you, a great honor! and Much more! https://t.co/YdtLh8YCkw https://t.co/JCGmG1L1My"
"65","Souls the Polls with Reverend L Sharpton... #Vote4FreedomFL #bringithome @ African Heritage Cultural Arts Center https://t.co/GilLtlWnCq"
"66","Advocates address deep distrust of mental health care among African-Americans - MinnPost (blog) https://t.co/ySf6vKoK55"
"67","@realDonaldTrump AAahahahahahahahahahahahahahahahahahahahahahahah

It's like you're not even trying any more!  Fox News is representing African American's?  Who did they ask - Ben Carson?"
"68","African architectural design made by a Black owned architect company .... https://t.co/uHGxWHZgge"
"69","@BashCash787 @k_kelvine @RMadridBabe But hey, you're an Americunt, so uneducated Americunt. Its not an insult to call you such, its my privilege <U+0001F602>"
"70","@BashCash787 @k_kelvine @RMadridBabe WTF do you know about football? You're an Americunt <U+0001F602>"
"71","if these asian gurls start tht bullshit u amerikkkan gurls be doing w these white boys illl stop fuckin w them too lmao.. <U+0001F923><U+0001F923><U+0001F923><U+0001F634><U+0001F970><U+0001F970>"
"72","Poster design for an exhibition called, “Internal Baggage” debuted in 2006. Titled, Amerikkkan Indignation
.
.
.
.
.
.
#art<U+0001F3A8>#art #patterns #paintings #artist #africanamericanart… https://t.co/eaEJReuCGL"
"73","all amerikkkan bada$$ still slaps"
"74","@coleyworld @krassenstein They're modern day AmeriKKKan Republicans.

That's what."
"75","@rihanna Queen of selling their AmeriKKKan properties and moving to London as soon as Trump got elected"
"76","On this Nov 6
I want U 2remember how many Black ppl were murdered, slaughtered &amp; terrorized 4 our right 2vote. We're Amerikkkan as anyone <U+0001F468><U+0001F3FE> https://t.co/ahDNi5kCNt"
"77","<U+0001F3A9> #VoteOrDie , am I right? Or are we already dead or dying? <U+0001F914>                       I am not attempting to discourage your Amerikkkan right to do so. I just want you all to recognize that… https://t.co/7fRiwUHNUk"
"78","@ZOMBIEJuicee Amerikkkan Korruption"
"79","How can you say you're an African Amerikkkan?? @minishmael #Farrakhan #NOISundays"
"80","HORRIBLE<U+2753>
HORRIBLE U SAY<U+2753><U+2753>
ITS WORSE THAN HORRIBLE<U+203C><U+FE0F>
ITS DEPLORABLE <U+203C><U+FE0F><U+203C><U+FE0F>
ITS ANTI-ameriKKKan<U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F>
RESIST<U+0001F4AA><U+270A><U+0001F1FA><U+0001F1F8><U+270C><U+FE0F>
VOTE DEMOCRAT<U+0001F1FA><U+0001F1F8>11/6/18 = MAGA https://t.co/iBb5uBcvfm"
"81","@Docochoa

Hi Dr. Beaner
Thank YOU so much!!!!
Please follow us for updates...."
"82","Dice el pseudo periodista @franciscozea “gringillos” pero luego se rasgan las vestiduras si alguien llama “ beaner” a un ilegal"
"83","Feliz cumpleaños Zach thanks for always being there for me and having my back @Zach27McDaniel,  beaner productions is still on (: https://t.co/B7NztZ3jZs"
"84","Digging beneath the surface of your own feelings or someone el... More for Libra https://t.co/dshszErKJg"
"85","Comeeeeee watch my people fight!!!! https://t.co/jk2rsB4vuY"
"86","The guys who hacked me were just sad racist pedophiles talking about how they need to hack “beaner” girls to drain money from minorities and how they wanna fuck kids? I’m so sorry anyone got any messages. I’ve secured twitter, NOT IG."
"87","@adrianrebollar_ go to bed beaner."
"88","Can non-Mexican Latinos say “beaner”?"
"89","Lmao the beaner population of DHS would be making me rich https://t.co/DP9HN9H7DS"
"90","@Ol_Dirty_Ricky like whaat - problem especially when he says mike Vick when this shit I don’t need to pass beaner"
"91","Thanks @MichaelRingFG &amp; Cathaoirleach of @MayoCoCo Cllr. Blackie Gavin for opening #Belmullet WwTP. EPS &amp; @Roadbridge Ltd delivered the €9m project, which will benefit over 1,000 local people &amp; visitors &amp; provide the capacity for a population of up to 2,500.  #RethinkingWater https://t.co/p8DehT6VI5"
"92","Who is trying to get through Monday like Blackie from extremeatvoffroad gets through skeg? #AssassinatorTires <U+0001F918><U+0001F60E> https://t.co/IB7dEpP02i"
"93","@THESUGARDAD1 Should we post the screenshot for a chance to win or only if we’ve won?"
"94","@ghoulrunnings @YubariRaticate"
"95","#NowPlaying Boston Blackie - Bombing Joe Ingalls :: Tune In: https://t.co/lWTblcHSnK"
"96","the scene in true grit when Little Blackie died https://t.co/hGGqv5St1C"
"97","@DR__Daviid It happens"
"98","Een vers artikel omtrent STOUTEN BLACKIE van #HopSaSam <U+0001F60E> Dit keer in maandblad #Randeevoe, lees het hier https://t.co/1IYMbqWxl1 <U+0001F917> @randeevoe #biermetnenhoekaf #HopSaSam #Oudenaarde #Belgisch #bier #Belgischbier #lekkies #JanVanGent #Kerzelare #nieuwproject #fieroponsbier #… https://t.co/p3Es1x01LY"
"99","My blackie called me <U+263A><U+FE0F>"
"100","Bless Blackie’s rescuer! May he live happily ever after safe and loved. https://t.co/yZEUUnWkLL"
"101","(Invasive Advertising!) has just been published on Blacky's Burrow - https://t.co/fgo8vChjKW"
"102","(Endless Horse) has just been published on Blacky's Burrow - https://t.co/IyPp3gCF1R https://t.co/VmCzg5raqk"
"103","(I <U+2665> Black Cats!) has just been published on Blacky's Burrow - https://t.co/iS48PFmaoi https://t.co/1IyIjw4Ue2"
"104","(Some Cool Facebook Cats) has just been published on Blacky's Burrow - https://t.co/h3QeWv45J4"
"105","(https://t.co/jlpfybRt51) has just been published on Blacky's Burrow - https://t.co/agpzPD9U8n https://t.co/CzwW4rZVIa"
"106","(12 Things That Look Like Darth Vader) has just been published on Blacky's Burrow - https://t.co/bNBYasxBFe https://t.co/UBlR2rVD5E"
"107","@blacky_alfatih @OfficialFPL Dream team is just the best team each week.. not an actual team"
"108","@The_real_Blacky Sorry my friend. True even when the ghosts are still alive."
"109","Blacky Black  Bear he stands 15"" High Great first Bear https://t.co/3vBYoOcRTv"
"110","@blacky_iria <U+30D0><U+30FC><U+30B5><U+30FC><U+30AF>(<U+7269><U+7406><U+7684>)<U+3084><U+3081><U+3044>ww
<U+30D5><U+30ED><U+30FC><U+623B><U+3063><U+3066><U+304F><U+308B><U+5C11><U+3057><U+524D><U+306B><U+6B7B><U+3093><U+3060><U+6642><U+306F><U+307E><U+3060><U+7ACB><U+3066><U+76F4><U+305B><U+308B><U+304B><U+3089><U+3059><U+304D><U+2661><U+2661>
<U+3046><U+3061><U+3082><U+30B3><U+30DF><U+30E5><U+969C>…_(:3<U+FF63> <U+2220> )_
<U+3042><U+3068><U+3042><U+308C><U+306A>
<U+30A8><U+30AA><U+30AB><U+30D5><U+30A7><U+3082><U+30D5><U+30A1><U+30F3><U+30D5><U+30A7><U+30B9><U+7D44><U+3067><U+57CB><U+307E><U+308A><U+305D><U+3046>…"
"111","Hey Camel Jockey, STICK IT!!! https://t.co/dLqOh6Wyni"
"112","lil camel jockey https://t.co/mAWavPGATC"
"113","@TheNewFauxTimes @DRUDGE_REPORT No, he's a left-wing liberal idiot, also known as a sand ni**er or camel jockey. @POTUS trying to keep them out of country!"
"114","Camel Jockey Slave Kids https://t.co/xy5ac7ezGG #camel #Jockey #kids #categories#"
"115","@CharlyISaLION @JSmithpolitics1 @mitchellvii I’ve been fired up since Trump won. I have been fired up when people call me a camel jockey for supporting Trump. 

Or I should be ashamed to be immigrant child of two parents that came here from Iraq.

I’ve been fired up b/c the more I get attacked, I will use my voice to vote."
"116","@raptorslc @RKJ65 @KellyannePolls @realDonaldTrump A few? Okay. Sure 

And I’ve had more liberals call me racist names because I don’t agree with their view points. 

I’ve been called a camel jockey, Sand N****r by liberals more than my entire life even more than 9/11. But okay keep living in your fantasy liberal land."
"117","Kick out the kite and camel jockey...the US doesnt need ANY of them...#youallmustgoback"
"118","Just A NOTE:
I have been called many names Like, Sand N***r, Towel Head, Camel Jockey, My Wife has been called a N Loving ""B"" I have been asked why did I come here. Well I am a Arranger, Producer, Musician,... https://t.co/qfjDJWACLy"
"119","@FarmerPerky @KristyLasha @galalijan @Victhebrick64 @Friendsthatihav @robbystarbuck @NathanLerner It's a nationality, but you know that, right?
You know, Google is free. You can do this solo. Take the time to delve into why ""camel jockey"" is in the Racial Slur Database. And then some good ol' introspection to determine why you chose that term over any other word."
"120","@sharafaalsana stupid camel jockey"
"121","@BusterUSMC If the blacks did not have Republican &amp; volunteer carpetbagger aid in the South, these blacks would have never been elected in the South.
I drove cab in Richmond in the 1960s, 100 years after CW and their was still prejudice. Yellow cab did not have black drivers or take blacks"
"122","@Peoples_Pundit Too bad we’re going to lose AZ02 R-D. But at least that evens it out. It’s ridiculous GOP didn’t try harder to keep McSally seat red. Dems put their only sane candidate in that district even if she is a carpetbagger."
"123","@RadioFreeTom Doesn't this kind of punish evolution... my incumbent republican congressman is among the most bipartisan in the country while the democrat is literally a carpetbagger brought in by the progressive wing of the democratic party"
"124","@MariaBartiromo you might inform carpetbagger Maloney that McGrath is in Ky. Not Kansas!"
"125","@Nikita_KAG_TOO Look up the term ""CARPETBAGGER"" this is exactly what maxine is.
She comes in from another district to run this one into the ground and taking their money."
"126","She also pronounced “Albany” really weirdly when she says where she’s from... <U+0001F914> #carpetbagger https://t.co/FjANUWyf4t"
"127","There’s no mystery,
with Ellison
NOR other
interlocking
interlopers,
given MN DFL
carpetbagger crew,
foreign banker bucks
&amp; rank powerbrokers
choice of a fallen
slate of puppet
State &amp; Federal
MN DFL candidates. https://t.co/E3LFIAJ8vA"
"128","@1776Stonewall Carpetbagger."
"129","@RocketMendoza3 @JovankaBeckles Someone needs to get rid of the carpetbagger wicks"
"130","@realDonaldTrump Harley the carpetbagger is going down and it won't even be close."
"131","@binance @BinanceLabs @cz_binance @binanceinfo @BinanceAcademy @TrustWalletApp @Tronfoundation @BinanceBCF This week gonna be more fun <U+0001F525>"
"132","Speak less and gain power #ChinaMan"
"133","Rule #1 in #crypto expect the opposite. #ChinaMan"
"134","@Bitcoin_Gallery @MWealthMan @cvrbonbased @notsofast @BitcoinDood @marco_peereboom @ChinaMan_123 That's ok.  just blend with us cool cats.  We got your back.  LoL"
"135","https://t.co/8mdLYWxHzs LOL. Seeing a Chinaman and a Russian in Chinese movies is like watching an American and a Brit in American movies. It's fucking political propaganda."
"136","My son just walked into my home office, kissed me on the forehead, and went back to playing with his little sister. I'm the luckiest Chinaman on earth."
"137","@ChinaMan_123 or, earth is an organ in a larger living creature, and humans are the cancer killing it. Our diseases, are actually given to us, trying to kill us off to save the organ and the life. Like we fight off diseases to stay alive."
"138","@ChinaMan_123 always thought we we're just specimens put in a petri dish called earth. While other ""petri dishes"" scattered throughout the galaxies. Each dish gets different technologies/diseases... over time. Worm holes, traveling  warp speed, can makes years pass in dish, days pass 4 traveli"
"139","Ching Chong Major 2019, inspired by Kuku XD https://t.co/BfZ79ktxjZ"
"140","""Ching chong your religion is wrong""
-me at 0300 after 6 cups of coffee"
"141","@turajustin ching chong"
"142","ching chong major<U+0001F480><U+0001F602>"
"143","ching chong major XD https://t.co/GsQj7mszDT"
"144","@wykrhm Ching chong major"
"145","Ching chong Major https://t.co/PTNdIfz85V"
"146","@gabezimzim @__camburger__ Ching Chong bing bong go back to your country"
"147","@ching_chong_100 ALL YOU HAD TO SAY WAS NO ALL THAT EXTRA SHIT WASN'T NESSECARY! ALL YOU DO IS SIT IN THAT UGLY ASS HOUSE PLAYING CLARINET AND YOU STILL CAN'T PLAY FOR SHIT"
"148","@ching_chong_100 hey squidward wanna go jellyfishin?"
"149","Chink got the thotiannas"
"150","I want to know that it’s genuine—that your emotions are authentic"
"151","You have to be genuine"
"152","One small chink in the armor that is your home's roof can do a great deal of damage, both seen and unseen <U+0001F61F><U+0001F50D>. Protect your home by investing in the best roof. <U+200B><U+0001F3E0> Give us a call at 407-637-5339 to schedule your FREE consultation. #Sheegog #Roofing #Contractor #CentralFlorida https://t.co/9eiWgLiWVD"
"153","@chink_Key_face Lol yea I kno smh"
"154","@finebaum SEC is overall balanced within 13 teams with bama as long as Tua can stay healthy miles ahead. With that said they have 3 Dlines coming up that can hit a QB alot. The 1 chink is if he goes down. Oh 4 DL's if they play Clemson."
"155","Rise &amp; Grind <U+0001F495>."
"156","@N3llyyyy Thats how I be your body be used to getting up at that time <U+0001F602>"
"157","I need those blessings cus I know I’m a sinner ."
"158","Good morning <U+2600><U+FE0F> praying for a great week."
"159","@LLL_TMB I'm here to support your word but also give you an extra set of clapping for the use of chud?? It's been too long."
"160","Honestly, I can’t believe it’s been a year with my best friend. Thank you for showing me what it is really like to be loved, even with my many flaws. You’re patience and kind heart don’t… https://t.co/1E2R66l0Rl"
"161","https://t.co/Kpw7qDOt8L"
"162","https://t.co/Sp8flB9GMU"
"163","Freddie Mercury: All Hail the Queen 

Queen frontman Freddie Mercury grew up in a faraway land with no idea of what he was capable of and who he would become. This is his story. https://t.co/9kCpCxsF6B"
"164","@JenKirkman most dumb men are gross. I'm sorta CHUD."
"165","@GuillotinePod They’re worried about our range days where we eat donuts and shoot guns and BS. But gotta call it “drilling” because that makes it scary. You know like what the right wing chud militia movement is actually doing and has been for decades."
"166","@SuperSpacedad Oh man, you're reminding me of 2016, when I wore my ""I Voted"" sticker I got from early voting before Election Day and a MAGA chud absolutely lost his shit on me at the convenience store for ""voter fraud."""
"167","@living_marble i have a theory. you have only seen one movie, and it is CHUD."
"168","It’s cute when @ainsleyearhardt gets excited about #MidtermElections &amp; says “y’all”   Guess u can take the girl out of the country but u can’t take the country out of the girl - Mayb she’ll start talking like Elly May Clampett aka Donna Douglas soon #MondayMotivation #magaforall https://t.co/x67mE4ciDL"
"169","@powerJAMM @kirbyreanimated But I like it because it's so wild and fluid like those Bob Clampett Looney Tunes cartoons ! <U+0001F606>"
"170","@awfultruth01 @judylynn903 @realitytvwitht @savekaiser C'mon now. Granny Clampett kept a much cleaner house than Jenelle ever will."
"171","@DeathByDerek I love the obvious inspiration from guys like Bob Clampett, but it also added a surreal, gross style. Episodes like Space Madness and the nerve ending fairy arguably paved the way for shows like Aqua Teen, while the throwback style led the way for a decade of Nickeloden shows."
"172","#PorSiTeLoPerdiste Erika Eleniak fue la encargada de encarnar a la poco delicada hija de Jed Clampett en la cinta de 1993 https://t.co/c1M5VWQB4M"
"173","@carlreiner Buddy Ebsen - Scarecrow from Oz, Jed Clampett, and Barnaby Jones"
"174","@sapphocles @BillClinton @algore @TheDemocrats @GeorgeHWBush @CIA @POTUS ""Now dirty Bill Clinton fronted me some weight, told me keep two, bring him back eight. Now I only brought him 5 and held on to three... Do you think that Clampett will stick his goons on me?"" -Opening verses in Dirty South by Goodie Mobb <U+0001F440> https://t.co/lMORxEPbHq"
"175","@chipotlehombre Haha! Granny Clampett on steroids! <U+0001F60E>"
"176","@almighty_alvin @Strange8s Not Jed Clampett, hahahaha!"
"177","Ballad Of Jed Clampett | Lester Flatt and His Nashville Grass | 50 Years Of Bluegrass Hits 2"
"178","@_YoungCools You a coon lmao"
"179","Quality Inspector | Coon Rapids, Minnesota | Atlantis Technical Services https://t.co/TWkhJnIv8q"
"180","@Marcel703 @tariqnasheed LOL, Imma reach out to the Hodgetwins. They hit a coon goldmine... lmao"
"181","Georgia high school band spells out racist slur ‘coon’ during performance: https://t.co/X8e49GCSsW via @AOL"
"182","@strap_assassin1 @AlexaLiackoFOX5 @FOX5Atlanta Coon. Now what? I was called one in the 11th grade, and despite what you think, sir, it IS bad and it IS a big deal. It was one of the most devastating moments of my life."
"183","@DeerBarber @AlexaLiackoFOX5 @FOX5Atlanta As a black person I’ll tell you the one and only racial slur I’ve been called that starts with a C is coon. And this is disgusting."
"184","Coon lol https://t.co/g9hH2QoqBv"
"185","I saw this happening on here in real time and she pretty much fooled me too because I was deadass sitting on my couch like ""this lil coon is really in the sunken place.""

What a Queen.

She prolly gon' get sued, but give her her flowers anyway. https://t.co/b3lBF0crLY"
"186","This is Diesel ! He is a Maine Coon kitten! And hides and plays peek a boo ! So adorable https://t.co/Yv5K3PA65e"
"187","@bl0ndechild @HardCiderBlues @CBSNews So spelling the word “coon” was a mistake?"
"188","@Schuyler_Sites @balthazarsqueen I’m from the coonass part of Texas what do you mean I haven’t found one prepared properly"
"189","@Holy_Elle I bleed burnt orange <U+0001F918><U+0001F3FC>but I’m half coonass, sure hated to see LSU get done like that, they come out strong, I had high hopes! We’ll get’em next time!"
"190","@urvipatella ARM.  AND HE COONASS. https://t.co/EGMbMRFF7h"
"191","@Chessa222k @PaysTara @RogerGascoigne Tara, I believe the word you are looking for is Coonass."
"192","@KristinBoymom WTF is a coonass?"
"193","@ThoseEyesDoe - on. That’s when I heard a loud voice boom across the way. “VOO-DOOOOO!” My lips split into a grin, and I winked at Dre, then cupped my hands over my mouth and yelled back my coonass yeehaw of sorts, then turned and held my hand up, pushing -"
"194","I love you!! @AndreaaMeneses"
"195","<U+0001F4AF> thousand drunk coonass’s in Death Valley finally stopped Alabama on an opening drive"
